House ID,MAPE,MAPE*,RMSE,RMSE*,Corr,Corr*
8145135,47.577,37.994,0.206,0.117,0.577,0.901 
8147703,47.99,30.827,0.13,0.1,0.625,0.798 
8149711,65.248,37.33,0.118,0.062,0.737,0.955 
8156517,127.438,117.424,0.45,0.408,0.602,0.674 
8176593,28.021,17.212,0.127,0.065,0.601,0.92 
8181075,18.507,8.408,0.197,0.079,0.758,0.965 
8184653,38.724,20.15,0.252,0.107,0.638,0.941 
8196621,35.91,20.56,0.159,0.085,0.74,0.941 
8196659,40.227,31.864,0.164,0.081,0.701,0.932 
8196669,24.697,19.635,0.192,0.158,0.809,0.887 
8196671,28.727,20.177,0.122,0.087,0.635,0.819 
8198267,35.769,24.038,0.156,0.104,0.814,0.918 
8198319,23.059,17.124,0.141,0.141,0.802,0.803 
8198345,58.661,42.834,0.103,0.088,0.681,0.825 
8211599,44.857,36.606,0.095,0.066,0.676,0.858 
8257034,95.968,66.13,0.413,0.212,0.829,0.961 
8257054,21.821,15.217,0.162,0.116,0.764,0.926 
8264534,36.324,28.641,0.246,0.196,0.586,0.851 
8273230,25.358,59.835,0.08,0.143,0.901,0.686 
8273592,37.747,29.287,0.228,0.146,0.516,0.813 
8282282,99.842,82.436,0.431,0.331,0.377,0.725 
8291712,213.888,183.257,0.416,0.32,0.709,0.831 
8308588,24.766,16.95,0.222,0.113,0.536,0.94 
8326944,101.282,79.295,0.634,0.476,0.678,0.819 
8328122,34.642,26.993,0.208,0.16,0.741,0.843 
8334780,26.261,20.185,0.158,0.103,0.753,0.902 
8342852,38.705,46.295,0.227,0.55,0.941,0.643 
8347238,36.339,30.474,0.19,0.132,0.698,0.872 
8350006,21.296,11.01,0.145,0.078,0.751,0.933 
8351602,23.758,15.765,0.235,0.139,0.804,0.931 
8376656,40.295,28.208,0.139,0.102,0.765,0.895 
8419708,26.055,17.694,0.277,0.129,0.691,0.948 
8432046,63.266,38.805,0.477,0.299,0.768,0.921 
8451629,31.757,19.067,0.183,0.105,0.783,0.932 
8459427,21.15,17.217,0.061,0.053,0.758,0.827 
8466525,29.328,19.62,0.179,0.121,0.828,0.937 
8478501,51.373,46.553,0.167,0.22,0.834,0.702 
8482121,31.288,43.159,0.11,0.143,0.785,0.614 
8487285,24.816,9.93,0.198,0.091,0.565,0.95 
8487297,141.44,107.062,0.467,0.397,0.561,0.695 
8487461,105.135,57.342,0.225,0.104,0.537,0.914 
8496980,37.289,24.353,0.357,0.212,0.532,0.857 
8504552,24.409,9.628,0.159,0.052,0.749,0.928 
8519102,78.204,78.201,0.153,0.146,0.395,0.451 
8523058,46.623,36.287,0.338,0.249,0.635,0.805 
8540084,78.493,25.351,0.226,0.106,0.662,0.955 
8557605,50.855,47.167,0.386,0.248,0.835,0.931 
8566459,53.547,49.524,0.274,0.243,0.715,0.794 
8617151,34.169,19.291,0.22,0.156,0.859,0.925 
8618165,39.063,16.3,0.315,0.094,0.571,0.968 
8655993,35.215,27.372,0.208,0.107,0.701,0.908 
8661542,31.606,19.331,0.258,0.139,0.814,0.947 
8673172,47.745,35.768,0.337,0.214,0.794,0.932 
8679346,74.113,40.96,0.277,0.136,0.668,0.918 
8680284,69.775,35.542,0.275,0.128,0.825,0.962 
8685932,17.555,9.443,0.111,0.044,0.834,0.975 
8687500,34.62,27.6,0.239,0.2,0.667,0.83 
8733828,32.093,19.59,0.129,0.07,0.81,0.956 
8804804,36.389,28.881,0.396,0.307,0.791,0.873 
9012348,179.21,108.381,0.516,0.359,0.282,0.69 
9393680,100.083,89.805,0.467,0.435,0.557,0.624 
10509861,28.132,22.165,0.242,0.219,0.724,0.776 
10595596,81.574,63.148,0.537,0.345,0.676,0.871 
10598990,49.664,20.33,0.775,0.277,0.656,0.957 
10692972,48.471,38.768,0.251,0.177,0.842,0.92 
10702066,41.057,32.03,0.102,0.053,0.479,0.862 
11081920,31.636,22.638,0.285,0.201,0.657,0.881 
11462018,27.691,18.426,0.099,0.078,0.865,0.9 
